func_type,B,D,F,B_BLOCK,D_BLOCK,F_BLOCK,time
fused,256,1024,1024,256,256,256,0.002135479473996384
naive,256,1024,1024,256,256,256,0.0009183823260027566
fused,512,1024,1024,256,256,256,0.0022067405900015728
naive,512,1024,1024,256,256,256,0.0011206709840007535
fused,1024,1024,1024,256,256,256,0.0022466735679918205
naive,1024,1024,1024,256,256,256,0.002125897652000276
fused,2048,1024,1024,256,256,256,0.002405930372002331
naive,2048,1024,1024,256,256,256,0.0033534823000045434
fused,4096,1024,1024,256,256,256,0.0027490731040052197
naive,4096,1024,1024,256,256,256,0.006323621499996079
fused,8192,1024,1024,256,256,256,0.0033793744560025514
naive,8192,1024,1024,256,256,256,0.012167012723999506
fused,16384,1024,1024,256,256,256,0.004638105820005877
naive,16384,1024,1024,256,256,256,0.02468232752199401
fused,32768,1024,1024,256,256,256,0.006810780495998188
naive,32768,1024,1024,256,256,256,0.049170858416004194
fused,1024,256,1024,256,256,256,0.0004751946540018252
naive,1024,256,1024,256,256,256,0.000673553050000919
fused,1024,512,1024,256,256,256,0.0008932631880052214
naive,1024,512,1024,256,256,256,0.0010510668640017684
fused,1024,1024,1024,256,256,256,0.002275691626004118
naive,1024,1024,1024,256,256,256,0.0021661274560065068
fused,1024,2048,1024,256,256,256,0.007346456118008065
naive,1024,2048,1024,256,256,256,0.0035753020680094776
fused,1024,4096,1024,256,256,256,0.042478072952009824
naive,1024,4096,1024,256,256,256,0.006918272418006381
fused,1024,1024,256,256,256,256,0.0007168424559968117
naive,1024,1024,256,256,256,256,0.000677378114000021
fused,1024,1024,512,256,256,256,0.0012561940499945193
naive,1024,1024,512,256,256,256,0.0010614502300013554
fused,1024,1024,1024,256,256,256,0.0022577336659924184
naive,1024,1024,1024,256,256,256,0.0021181589600018924
fused,1024,1024,2048,256,256,256,0.004237977685999795
naive,1024,1024,2048,256,256,256,0.003548846153993509
fused,1024,1024,4096,256,256,256,0.00822855153400451
naive,1024,1024,4096,256,256,256,0.006823841446002917
fused,1024,1024,8192,256,256,256,0.016134697065997898
naive,1024,1024,8192,256,256,256,0.013433158350009761
