num_params,activated_params,num_tokens,flops,val_loss
1327565,2386381,10000.0,143182860000.0,2.239482879638672
1327565,2386381,50000.0,715914300000.0,1.837973952293396
1327565,2386381,100000.0,1431828600000.0,1.7464135885238647
1327565,2386381,250000.0,3579571500000.0,1.520798683166504
1327565,2386381,500000.0,7159143000000.0,1.2129560708999634
1327565,2386381,750000.0,10738714500000.0,1.1266264915466309
1327565,2386381,1000000.0,14318286000000.0,0.9872964024543762
1327565,2386381,1500000.0,21477429000000.0,0.8453721404075623
1327565,2386381,2000000.0,28636572000000.0,0.19158440828323364
4748685,8963469,10000.0,537808140000.0,2.0257444381713867
4748685,8963469,50000.0,2689040700000.0,1.7462843656539917
4748685,8963469,100000.0,5378081400000.0,1.6311910152435303
4748685,8963469,250000.0,13445203500000.0,1.2787461280822754
4748685,8963469,500000.0,26890407000000.0,1.0696439743041992
4748685,8963469,750000.0,40335610500000.0,0.30101096630096436
4748685,8963469,1000000.0,53780814000000.0,0.18238849937915802
4748685,8963469,1500000.0,80671221000000.0,0.058020588010549545
4748685,8963469,2000000.0,107561628000000.0,0.030854083597660065
7113037,13427021,10000.0,805621260000.0,2.0181474685668945
7113037,13427021,50000.0,4028106300000.0,1.7134431600570679
7113037,13427021,100000.0,8056212600000.0,1.6035901308059692
7113037,13427021,250000.0,20140531500000.0,1.254840612411499
7113037,13427021,500000.0,40281063000000.0,0.9792615175247192
7113037,13427021,750000.0,60421594500000.0,0.28952503204345703
7113037,13427021,1000000.0,80562126000000.0,0.1055801585316658
7113037,13427021,1500000.0,120843189000000.0,0.04454849660396576
7113037,13427021,2000000.0,161124252000000.0,0.030709752812981606
9477389,17890573,10000.0,1073434380000.0,1.9495598077774048
9477389,17890573,50000.0,5367171900000.0,1.6902838945388794
9477389,17890573,100000.0,10734343800000.0,1.563167929649353
9477389,17890573,250000.0,26835859500000.0,1.1756302118301392
9477389,17890573,500000.0,53671719000000.0,0.513656497001648
9477389,17890573,750000.0,80507578500000.0,0.15421843528747559
9477389,17890573,1000000.0,107343438000000.0,0.08460759371519089
9477389,17890573,1500000.0,161015157000000.0,0.023536205291748047
9477389,17890573,2000000.0,214686876000000.0,0.010345065034925938
14205965,26821645,10000.0,1609298700000.0,1.9401966333389282
14205965,26821645,50000.0,8046493500000.0,1.648324966430664
14205965,26821645,100000.0,16092987000000.0,1.4465546607971191
14205965,26821645,250000.0,40232467500000.0,1.1268219947814941
14205965,26821645,500000.0,80464935000000.0,0.17577338218688965
14205965,26821645,750000.0,120697402500000.0,0.07883064448833466
14205965,26821645,1000000.0,160929870000000.0,0.028352919965982437
14205965,26821645,1500000.0,241394805000000.0,0.008428720757365227
14205965,26821645,2000000.0,321859740000000.0,0.005070890765637159
14994701,27610381,10000.0,1656622860000.0,1.981223225593567
14994701,27610381,50000.0,8283114300000.0,1.6666284799575806
14994701,27610381,100000.0,16566228600000.0,1.4689505100250244
14994701,27610381,250000.0,41415571500000.0,1.0834729671478271
14994701,27610381,500000.0,82831143000000.0,0.20241062343120575
14994701,27610381,750000.0,124246714500000.0,0.057034146040678024
14994701,27610381,1000000.0,165662286000000.0,0.028362486511468887
14994701,27610381,1500000.0,248493429000000.0,0.01204181183129549
14994701,27610381,2000000.0,331324572000000.0,0.01513736229389906
17752301,31941869,10000.0,1916512140000.0,1.9580843448638916
17752301,31941869,50000.0,9582560700000.0,1.6628193855285645
17752301,31941869,100000.0,19165121400000.0,1.4867677688598633
17752301,31941869,250000.0,47912803500000.0,1.0557957887649536
17752301,31941869,500000.0,95825607000000.0,0.14800819754600525
17752301,31941869,750000.0,143738410500000.0,0.04204878583550453
17752301,31941869,1000000.0,191651214000000.0,0.024526942521333694
17752301,31941869,1500000.0,287476821000000.0,0.007256938144564629
17752301,31941869,2000000.0,383302428000000.0,0.00594593770802021
21689517,39026861,10000.0,2341611660000.0,1.9386104345321655
21689517,39026861,50000.0,11708058300000.0,1.6589223146438599
21689517,39026861,100000.0,23416116600000.0,1.4594558477401733
21689517,39026861,250000.0,58540291500000.0,0.9651753306388855
21689517,39026861,500000.0,117080583000000.0,0.11703263223171234
21689517,39026861,750000.0,175620874500000.0,0.04718185216188431
21689517,39026861,1000000.0,234161166000000.0,0.016972340643405914
21689517,39026861,1500000.0,351241749000000.0,0.011316428892314434
21689517,39026861,2000000.0,468322332000000.0,0.004429459571838379
30580997,56316421,10000.0,3378985260000.0,1.941084384918213
30580997,56316421,50000.0,16894926300000.0,1.614495038986206
30580997,56316421,100000.0,33789852600000.0,1.416945219039917
30580997,56316421,250000.0,84474631500000.0,0.9592738151550293
30580997,56316421,500000.0,168949263000000.0,0.09500110894441605
30580997,56316421,750000.0,253423894500000.0,0.023737238720059395
30580997,56316421,1000000.0,337898526000000.0,0.009539811871945858
30580997,56316421,1500000.0,506847789000000.0,0.008099311962723732
30580997,56316421,2000000.0,675797052000000.0,0.0026824718806892633
38371297,70663521,10000.0,4239811260000.0,1.9336233139038086
38371297,70663521,50000.0,21199056300000.0,1.6080259084701538
38371297,70663521,100000.0,42398112600000.0,1.3477996587753296
38371297,70663521,250000.0,105995281500000.0,0.7950633764266968
38371297,70663521,500000.0,211990563000000.0,0.06166500598192215
38371297,70663521,750000.0,317985844500000.0,0.019177664071321487
38371297,70663521,1000000.0,423981126000000.0,0.015729539096355438
38371297,70663521,1500000.0,635971689000000.0,0.007443161681294441
38371297,70663521,2000000.0,847962252000000.0,0.0071769286878407
52524557,98723341,10000.0,5923400460000.0,1.9399596452713013
52524557,98723341,50000.0,29617002300000.0,1.6461999416351318
52524557,98723341,100000.0,59234004600000.0,1.4021215438842773
52524557,98723341,250000.0,148085011500000.0,0.8181769251823425
52524557,98723341,500000.0,296170023000000.0,0.05944299325346947
52524557,98723341,750000.0,444255034500000.0,0.018833806738257408
52524557,98723341,1000000.0,592340046000000.0,0.008551879785954952
52524557,98723341,1500000.0,888510069000000.0,0.0034700767137110233
52524557,98723341,2000000.0,1184680092000000.0,0.001319818664342165
73516557,140707341,10000.0,8442440460000.0,1.9498090744018555
73516557,140707341,50000.0,42212202300000.0,1.606791615486145
73516557,140707341,100000.0,84424404600000.0,1.3322155475616455
73516557,140707341,250000.0,211061011500000.0,0.18996462225914001
73516557,140707341,500000.0,422122023000000.0,0.023013634607195854
73516557,140707341,750000.0,633183034500000.0,0.017005182802677155
73516557,140707341,1000000.0,844244046000000.0,0.013261646032333374
73516557,140707341,1500000.0,1266366069000000.0,0.004707968793809414
73516557,140707341,2000000.0,1688488092000000.0,0.005095269065350294
75879693,143070477,10000.0,8584228620000.0,1.9433931112289429
75879693,143070477,50000.0,42921143100000.0,1.5978550910949707
75879693,143070477,100000.0,85842286200000.0,1.3307018280029297
75879693,143070477,250000.0,214605715500000.0,0.2628501355648041
75879693,143070477,500000.0,429211431000000.0,0.03420519083738327
75879693,143070477,750000.0,643817146500000.0,0.02892368845641613
75879693,143070477,1000000.0,858422862000000.0,0.011891038157045841
75879693,143070477,1500000.0,1287634293000000.0,0.00448494590818882
75879693,143070477,2000000.0,1716845724000000.0,0.005749533884227276
79818253,147009037,10000.0,8820542220000.0,1.9002630710601807
79818253,147009037,50000.0,44102711100000.0,1.5455583333969116
79818253,147009037,100000.0,88205422200000.0,1.3128836154937744
79818253,147009037,250000.0,220513555500000.0,0.22499987483024597
79818253,147009037,500000.0,441027111000000.0,0.024817820638418198
79818253,147009037,750000.0,661540666500000.0,0.009612440131604671
79818253,147009037,1000000.0,882054222000000.0,0.005871970672160387
79818253,147009037,1500000.0,1323081333000000.0,0.007199637126177549
79818253,147009037,2000000.0,1764108444000000.0,0.0015562588814646006
